date	direction	O	up_ex	down_ex	entry_time	entry_price	t2_price	t2_level	initial_price	initial_level	initial_reason	primary_reached	primary_time	mfe	mfe_time	mae	mark_1300	initial_touched	touch_time	initial_flipped	flip_time	flip_close	kept_at_flip	primary_after_flip	primary_after_flip_time	post_flip_mae	stop15_hit_before_initial	class	flip_on_entry_bar	initial_dist	initial_share	t2_dist	n_candidates	n_levels	entry_to_1300_bars	retrace_to_initial	retrace_time	worst_flip_to_primary	cf_opp_close_time	cf_opp_close_kept
2026-08-31	DOWN	29438.25	78.75	84.25	09:31	29517.0	29352.5	TDO	29410.5	day_mid	structural	False		163.0	10:25	0.0	77.25	True	09:35	True	09:35	29410.0	107.0	False		37.25	False	B	False	106.5	0.647	164.5	4	34	208	True	09:36	37.25	09:36	98.5
2026-09-01	UP	29111.5	205.75	71.5	09:41	29040.0	29486.25	TDO	29093.5	prev4_day_low	structural	False		277.25	11:49	0.0	151.0	True	09:44	True	09:45	29114.0	74.0	False		45.0	False	B	False	53.5	0.12	446.25	3	34	198	True	09:58	45.0	09:46	72.75
2026-09-02	UP	29098.25	113.5	81.0	09:55	29017.25	29171.25	asia(cur)_high	29119.0	london(cur)_high	structural	True	10:21	194.5	10:35	0.0	137.25	True	10:10	True	10:14	29127.5	110.25	True	10:21	89.0	False	A	False	101.75	0.661	154.0	5	34	184	False		102.0	10:20	132.5
2026-09-03	UP	29249.5	298.5	50.25	09:36	29199.25	29367.0	projection_up	29291.0	london(cur)_high	structural	True	09:49	348.75	12:58	0.0	328.5	True	09:38	True	09:39	29329.25	130.0	True	09:49	42.25	False	A	False	91.75	0.547	167.75	9	32	203	False		114.5	09:42	136.25
2026-09-04	DOWN	29588.5	103.5	110.75	09:58	29692.0	29571.0	TDO	29587.0	prev1_day_high	structural	True	10:26	214.25	11:31	0.0	116.25	True	10:20	True	10:25	29585.5	106.5	True	10:26	93.25	False	A	False	105.0	0.868	121.0	3	32	181	True	10:26	103.75	10:28	102.5
2026-09-07	DOWN	29613.75	32.25	50.0	09:33	29646.0	29530.25	asia(cur)_low	29545.5	prev5_day_high	structural	False		82.25	11:27	0.0	41.75	False		False							False	D	False	100.5	0.868	115.75	7	34	206					
2026-09-08	DOWN	29644.5	42.25	220.0	09:30	29686.75	29478.5	london(cur)_low	29587.0	prev3_day_high	structural	True	09:44	262.25	10:11	0.0	114.25	True	09:33	True	09:33	29586.75	100.0	True	09:44	41.75	False	A	False	99.75	0.479	208.25	5	34	209	True	09:34	73.5	09:34	86.75
2026-09-09	UP	29455.0	139.0	96.75	09:30	29417.0	29561.75	TDO	29487.75	asia(cur)_low	structural	True	09:59	177.0	10:05	58.75	40.75	True	09:34	True	09:41	29494.5	77.5	True	09:59	-58.75	False	A	False	70.75	0.489	144.75	5	34	209	True	09:42	39.5	09:42	70.75
2026-09-10	UP	29089.5	185.75	31.75	09:33	29057.75	29427.5	TDO	29372.0375	synthetic_85pct	synthetic	False		217.5	10:38	0.0	175.0	False		False							False	D	False	314.29	0.85	369.75	1	32	206					
2026-09-11	DOWN	29417.75	81.75	83.75	09:59	29475.0	29059.0	TDO	29403.38	week_mid	structural	False		141.0	10:48	24.5	38.75	True	10:04	True	10:04	29392.5	82.5	False		-24.5	False	B	False	71.62	0.172	416.0	3	32	180	True	10:05	-24.5	10:07	95.5
2026-09-14	UP	29194.75	381.5	27.25	09:37	29167.5	29311.75	TDO	29272.5	asia(cur)_low	structural	True	09:48	408.75	12:48	0.0	390.75	True	09:46	True	09:47	29290.75	123.25	True	09:48	79.0	False	A	False	105.0	0.728	144.25	3	34	202	False		121.0	09:50	152.0
2026-09-15	DOWN	29421.0	31.75	205.25	09:45	29452.75	29231.25	london(cur)_low	29365.5	day_mid	structural	True	10:51	237.0	10:53	0.0	172.5	True	10:10	True	10:10	29364.0	88.75	True	10:51	87.5	False	A	False	87.25	0.394	221.5	4	34	194	False		87.5	10:14	110.0
2026-09-16	UP	29386.75	165.75	13.75	09:36	29373.0	29495.75	prev1_day_high	29437.0	ny_morning(cur)_high	structural	True	10:59	179.5	11:47	0.0	95.5	True	09:46	True	09:46	29444.25	71.25	True	10:59	45.0	False	A	False	64.0	0.521	122.75	3	34	203	True	09:47	45.0	09:48	67.0
2026-09-17	DOWN	29717.75	35.25	112.0	10:28	29741.25	29460.5	TDO	29634.25	prev6_day_low	structural	False		89.25	11:06	11.75	0.5	False		False							False	D	False	107.0	0.381	280.75	2	32	151					
