entry_date	entry_time	exit_time	direction	entry_price	exit_price	tdo	stop_price	contracts	pnl	exit_type	divergence_bar	entry_bar	stop_bar_wick_pts	reentry_sequence	prior_trade_bars_held	entry_bar_body_ratio	smt_sweep_pts	smt_miss_pts	bars_since_divergence	matches_hypothesis	session_direction	entry_matches_session
2024-11-26	10:26	10:29	long	20927.0	20960.25	20938.75	20960.25	4	266.0	exit_stop	41	86	11.25	2	1	0.098	1.25	35.5	45	False	neutral	False
2024-11-28	09:35	09:36	short	20883.0	20885.975	20874.5	20885.975	4	-23.8	exit_stop	33	35	0.0	1	0	0.9333	0.25	0.5	2	False	neutral	False
2024-11-28	09:51	09:53	short	20887.5	20892.05	20874.5	20892.05	4	-36.4	exit_stop	50	51	3.0	2	1	0.3611	0.25	1.0	1	False	neutral	False
2024-11-28	10:04	10:06	short	20888.75	20893.7375	20874.5	20893.7375	4	-39.9	exit_stop	60	64	2.5	3	2	0.875	0.25	3.25	4	False	neutral	False
2024-12-04	09:38	09:39	long	21404.75	21400.1125	21418.0	21400.1125	4	-37.1	exit_stop	2	38	0.25	1	0	0.0862	0.25	1.0	36	False	short	False
2024-12-04	10:01	10:02	long	21405.25	21400.7875	21418.0	21400.7875	4	-35.7	exit_stop	60	61	12.75	2	1	0.4203	1.5	3.5	1	False	short	False
2024-12-05	09:36	09:38	short	21547.0	21530.0	21535.25	21530.0	4	136.0	exit_stop	17	36	4.5	1	0	0.0556	0.25	1.5	19	True	short	True
2024-12-05	13:02	13:09	short	21549.0	21553.8125	21535.25	21553.8125	4	-38.5	exit_stop	60	242	1.5	2	2	0.8947	0.5	33.0	182	True	short	True
2024-12-09	09:22	09:30	short	21629.25	21583.75	21615.0	21583.75	4	364.0	exit_stop	4	22	28.75	1	0	0.2	0.25	2.0	18	True	short	True
2024-12-10	09:51	09:54	short	21545.25	21522.5	21532.75	21522.5	4	182.0	exit_stop	18	51	9.0	1	0	0.7742	0.25	0.75	33	False	long	False
2024-12-12	09:15	09:17	long	21682.0	21677.8875	21693.75	21677.8875	4	-32.9	exit_stop	14	15	2.75	1	0	0.3043	0.75	5.0	1	False	short	False
2024-12-12	09:36	09:37	long	21681.5	21677.2125	21693.75	21677.2125	4	-34.3	exit_stop	19	36	3.0	2	2	0.6792	0.25	0.5	17	False	short	False
2024-12-12	09:51	09:52	long	21681.25	21676.875	21693.75	21676.875	4	-35.0	exit_stop	50	51	7.25	3	1	0.7736	0.25	3.5	1	False	short	False
2024-12-12	10:19	10:20	long	21681.0	21676.5375	21693.75	21676.5375	4	-35.7	exit_stop	54	79	6.5	4	1	0.7705	1.0	11.0	25	False	short	False
2024-12-12	10:33	10:35	short	21702.0	21690.25	21693.75	21690.25	4	94.0	exit_stop	92	93	2.0	5	1	0.5	1.0	9.25	1	True	short	True
2024-12-13	09:26	09:27	long	21786.5	21783.525	21795.0	21783.525	4	-23.8	exit_stop	6	26	4.75	1	0	0.36	0.5	1.25	20	False	short	False
2024-12-16	09:33	09:34	short	21911.0	21915.025	21899.5	21915.025	4	-32.2	exit_stop	1	33	8.25	1	0	0.5545	1.0	0.5	32	True	short	True
2024-12-18	09:42	09:43	long	21972.25	21969.275	21980.75	21969.275	4	-23.8	exit_stop	4	42	5.25	1	0	0.802	1.5	6.0	38	False	short	False
2024-12-23	09:37	09:38	short	21630.25	21634.1	21619.25	21634.1	4	-30.8	exit_stop	11	37	8.75	1	0	0.5989	0.75	2.25	26	False	neutral	False
2024-12-24	09:31	09:33	long	21816.0	21842.75	21825.75	21842.75	4	214.0	exit_stop	4	31	3.25	1	0	0.4242	0.25	1.0	27	False	short	False
2024-12-26	09:31	09:32	short	21975.25	21980.0625	21961.5	21980.0625	4	-38.5	exit_stop	29	31	13.5	1	0	0.101	0.75	2.5	2	False	long	False
2024-12-26	10:44	10:45	short	21975.0	21979.725	21961.5	21979.725	4	-37.8	exit_stop	65	104	0.25	2	1	0.506	1.0	28.0	39	False	long	False
2024-12-31	09:27	09:28	short	21463.75	21466.4625	21456.0	21466.4625	4	-21.7	exit_stop	12	27	3.5	1	0	0.6974	0.75	0.0	15	True	short	True
2024-12-31	09:47	09:48	long	21446.25	21442.8375	21456.0	21442.8375	4	-27.3	exit_stop	30	47	12.0	2	1	0.5469	1.5	3.75	17	False	short	False
2025-01-02	10:19	10:21	short	21359.0	21289.5	21348.0	21289.5	4	556.0	exit_stop	60	79	25.25	1	0	0.8537	1.0	1.0	19	True	short	True
2025-01-08	09:20	09:21	long	21344.75	21340.9	21355.75	21340.9	4	-30.8	exit_stop	8	20	6.0	1	0	0.48	0.25	3.0	12	True	long	True
2025-01-08	09:43	09:45	long	21342.75	21363.5	21355.75	21363.5	4	166.0	exit_stop	30	43	4.5	2	1	0.2483	2.5	1.75	13	True	long	True
2025-01-08	09:56	09:57	long	21342.75	21338.2	21355.75	21338.2	4	-36.4	exit_stop	47	56	4.25	3	2	0.3138	1.25	13.75	9	True	long	True
2025-01-13	09:48	09:50	long	20752.75	20776.75	20765.75	20776.75	4	192.0	exit_stop	28	48	5.0	1	0	0.2544	0.75	0.25	20	True	long	True
2025-01-13	10:22	10:24	short	20774.75	20745.25	20765.75	20745.25	4	236.0	exit_stop	53	82	19.5	2	2	0.9327	1.75	23.25	29	False	long	False
2025-01-14	09:28	09:30	short	21081.0	21037.75	21071.25	21037.75	4	346.0	exit_stop	6	28	37.75	1	0	0.5179	0.25	3.75	22	True	short	True
2025-01-20	09:56	09:57	short	21737.25	21742.0625	21723.5	21742.0625	4	-38.5	exit_stop	5	56	9.0	1	0	0.9211	0.25	0.5	51	True	short	True
2025-01-22	09:23	09:24	long	21905.5	21902.4375	21914.25	21902.4375	4	-24.5	exit_stop	3	23	2.25	1	0	0.3333	0.5	0.5	20	False	short	False
2025-01-23	09:23	09:26	long	21880.0	21888.0	21889.0	21888.0	4	64.0	exit_stop	2	23	1.25	1	0	0.1579	0.25	0.0	21	False	neutral	False
2025-01-24	09:50	09:51	short	22055.25	22059.1	22044.25	22059.1	4	-30.8	exit_stop	3	50	1.75	1	0	0.7556	0.5	0.0	47	True	short	True
2025-01-29	09:16	09:17	short	21609.25	21612.575	21599.75	21612.575	4	-26.6	exit_stop	15	16	4.75	1	0	0.5938	0.5	3.25	1	True	short	True
2025-01-29	09:21	09:22	short	21611.0	21614.9375	21599.75	21614.9375	4	-31.5	exit_stop	19	21	0.5	2	1	0.6	0.25	5.25	2	True	short	True
2025-01-31	09:16	09:23	long	21759.75	21754.675	21774.25	21754.675	4	-40.6	exit_stop	2	16	4.5	1	0	0.0698	0.25	0.25	14	False	short	False
2025-02-03	09:04	09:05	long	21203.0	21198.625	21215.5	21198.625	4	-35.0	exit_stop	2	4	5.0	1	0	0.5909	1.25	0.0	2	False	neutral	False
